name	season	region	games	winrate	kd	gpm	gdm	duration	kills/game	deaths/game	towerskilled	towerslost	fb%	ft%	drapg	dra%	herpg	her%	dra@15	td@15	gd@15	ppg	nashpg	nash%	csm	dpm	wpm	vwpm	wcpm	
SB	S12	KR	41	65.90	1.3	1832	73	31:11:00	13.5	10.3	6.6	4.6	48.8	48.8	2.95	67.1	0.76	37.8	1.24	-0.1	-718	3.9	0.8	65.3	32.7	2122	3.4	1.32	1.7	
SB	S12	KR	41	26.80	0.57	1677	-229	31:46:00	8.6	15.1	4.1	8.4	41.5	24.4	2.02	42.9	0.71	39	1.02	-0.4	-1732	2.83	0.41	28.2	32.8	1617	3.2	1.24	1.55	
KT	S12	KR	5	40.00	1.1	1851	52	33:02:00	13.6	12.2	6.6	6.6	80	60	3.2	72	1.2	70	1.2	0	894	4.8	0.4	26.7	32.8	1889	3.6	1.32	1.64	
KT	S12	KR	5	40.00	0.82	1720	4	39:11:00	10.6	13	5.8	7.2	20	60	3.2	55	1.4	70	0.8	0.6	-229	4.8	0.6	50	31.7	1837	3.4	1.35	2.01	
KT	S12	KR	45	55.60	1.2	1817	59	34:00:00	12.3	10.3	6.5	5.9	55.6	42.2	3.02	62.1	0.87	43.3	1.11	0	249	4.38	0.8	50.4	33.3	2071	3.8	1.43	1.92	
KT	S12	KR	43	44.20	0.96	1783	-22	33:35:00	12	12.4	5.4	6.6	53.5	46.5	2.72	55.9	0.91	47.7	1.09	-0.1	-221	4.28	0.67	46.7	33.4	1806	3.7	1.53	1.79	
KDF	S12	KR	42	47.60	1.18	1741	-5	35:01:00	11.8	10	6.6	5.9	42.9	61.9	2.48	51.9	1	51.2	0.83	-0.1	-221	3.57	0.52	49.6	32.5	1827	3.9	1.72	1.88	
KDF	S12	KR	8	37.50	0.89	1643	-204	32:45:00	11.8	13.3	4.5	7.8	50	25	2.38	43.5	0.13	6.3	0.88	-0.3	-1173	3	0.38	33.3	30.1	1659	3.8	1.68	1.78	
KDF	S12	KR	42	31.00	0.76	1689	-141	34:43:00	8.9	11.8	4.5	7.4	42.9	35.7	1.9	35.8	0.88	44	0.57	-0.1	-704	3.4	0.64	41.7	32	1705	3.7	1.63	1.81	
HLE	S12	KR	43	27.90	0.76	1698	-129	34:53:00	9.8	12.8	4.5	7.6	34.9	41.9	1.95	39.8	1.05	53.5	0.65	-0.2	-520	3.91	0.53	33.7	32.5	1674	3.4	1.51	1.82	
HLE	S12	KR	46	26.10	0.55	1669	-215	32:09:00	7.5	13.7	4	8	43.5	34.8	1.57	32.9	1.13	56.5	0.61	-0.2	-1191	3.85	0.48	28.4	31.8	1700	3.2	1.38	1.63	
Gen.G	S12	KR	16	62.50	1.32	1818	111	31:24:00	12.5	9.5	6.1	4.6	62.5	31.3	2.13	50.3	0.88	43.8	0.75	-0.3	116	4.81	0.63	56.3	33.2	2117	3.2	1.37	1.82	
Gen.G	S12	KR	7	85.70	1.95	2015	340	31:12:00	17.6	8.9	8.3	3.7	28.6	100	2.86	65.7	0.86	50	1.14	0.6	1845	5.14	0.86	59.5	34.9	2494	3.7	1.41	1.86	
Gen.G	S12	KR	40	87.50	1.79	1974	332	31:00:00	14.1	7.9	8.6	3.1	67.5	77.5	2.73	65.4	1	50	0.9	0.6	2009	5.73	0.9	78.4	35.3	2259	3.6	1.4	1.93	
Gen.G	S12	KR	9	44.40	0.93	1748	-57	34:23:00	12.7	13.7	5.3	7.3	22.2	33.3	2.89	58.1	0.33	16.7	1.33	-0.9	-1582	3.33	0.67	50	32.3	1805	3.8	1.4	1.84	
Gen.G	S12	KR	40	70.00	1.36	1881	170	33:12:00	14.2	10.4	7.8	4.5	55	52.5	2.8	61	0.68	33.8	0.98	0.1	620	4.58	0.85	63.2	34.6	2060	3.6	1.42	1.84	
DK	S12	KR	12	58.30	1.31	1862	168	31:36:00	14.5	11.1	6.8	4.2	41.7	100	3.08	73.3	1.5	79.2	1	1.1	2262	7.5	0.83	72.7	31.3	2332	3.6	1.47	1.44	
DK	S12	KR	4	75.00	2.04	1792	227	32:47:00	12.8	6.3	7.3	3.3	50	75	3	70	1.25	62.5	1.25	0	886	3.75	0.5	50	31.6	2167	4	1.52	1.93	
DK	S12	KR	10	50.00	1.04	1724	-35	36:03:00	11.7	11.1	6	6	40	70	2.8	54.5	1.1	55	0.9	-0.1	571	4.5	0.6	38.9	30.8	1976	3.9	1.54	1.59	
DK	S12	KR	41	58.50	1.22	1807	57	33:10:00	12.2	10	6.9	5.7	51.2	56.1	2.34	48.7	0.93	46.3	0.63	0.1	655	4.95	0.71	52.1	32.3	2167	3.6	1.5	1.59	
DK	S12	KR	8	62.50	1.31	1851	120	34:43:00	14.9	11.3	8.1	5	50	62.5	2.63	51.3	1.5	75	0.63	0.9	890	6.13	1.13	68.8	32.4	1874	3.5	1.64	1.78	
DK	S12	KR	42	64.30	1.28	1792	86	35:43:00	12.2	9.6	7.2	5.5	54.8	54.8	3.05	56.9	1.19	59.5	0.81	0.2	723	5.36	0.93	61.6	32.6	1775	3.7	1.46	1.67	
DRX	S12	KR	21	66.70	1.38	1832	122	34:28:00	13.1	9.5	7.3	5	57.1	61.9	2.62	52.9	1.24	61.9	0.81	0.1	678	4.52	0.86	65.1	32.8	2129	3.6	1.54	1.82	
DRX	S12	KR	5	100.00	2.49	1983	375	29:59:00	18.4	7.4	8.4	1.8	40	80	2.2	58.1	1.2	70	0.6	0.6	2387	4.2	0.8	70	34.5	2729	3.1	1.29	1.32	
DRX	S12	KR	10	60.00	1.08	1833	47	32:54:00	12.8	11.9	6.6	5.6	40	50	1.8	40	0.8	40	0.4	-0.1	-110	4.1	1	71.7	32.6	2190	3.4	1.49	1.75	
DRX	S12	KR	4	25.00	0.82	1695	-56	37:14:00	11.3	13.8	5.3	6.8	50	75	2.25	48.2	1.75	100	0.25	0.3	471	3.5	0.5	25	31.4	2308	3.8	1.64	2.01	
DRX	S12	KR	45	48.90	0.95	1771	-41	34:13:00	11.8	12.3	5.8	6	44.4	51.1	2.33	43.5	1.07	53.3	0.69	-0.2	-276	3.82	0.89	55.7	32.5	2095	3.4	1.55	1.77	
DRX	S12	KR	5	40.00	0.71	1718	18	36:42:00	10.8	15.2	7	6.4	40	60	2.6	48.3	1.8	90	0.6	-0.4	-897	4.2	0.6	50	30.8	2033	3.7	1.56	1.97	
DRX	S12	KR	41	53.70	0.93	1763	7	34:26:00	11	11.7	6.4	5.8	48.8	48.8	2.1	42.5	1.2	59.8	0.66	0.1	20	4.07	0.73	55.7	33.2	1882	3.4	1.5	1.8	
BRO	S12	KR	44	47.70	1	1754	-26	35:33:00	11.2	11.3	6	6.5	52.3	36.4	2.57	49.6	0.82	42	0.89	-0.3	-587	3.5	0.86	51.2	33.1	1711	3.8	1.68	1.95	
BRO	S12	KR	3	0.00	0.31	1599	-436	33:08:00	6.7	21.3	1.7	10.3	100	33.3	2	41.1	0.67	33.3	1.33	-0.7	-1500	4	0	0	31.2	1392	3.7	1.72	1.58	
BRO	S12	KR	42	26.20	0.7	1718	-127	33:32:00	8.6	12.1	4.7	7.1	50	31	2.24	44.8	0.98	48.8	1	-0.3	-544	3.71	0.57	39.2	33.1	1715	3.5	1.5	1.98	
